,Id,Price,Age_08_04,Mfg_Month,Mfg_Year,KM,HP,Met_Color,Automatic,cc,Doors,Cylinders,Gears,Quarterly_Tax,Weight,Mfr_Guarantee,BOVAG_Guarantee,Guarantee_Period,ABS,Airbag_1,Airbag_2,Airco,Automatic_airco,Boardcomputer,CD_Player,Central_Lock,Powered_Windows,Power_Steering,Radio,Mistlamps,Sport_Model,Backseat_Divider,Metallic_Rim,Radio_cassette,Tow_Bar
Id,1,-0.738250029,0.906131717,0.043742311,-0.919523233,0.273297851,-0.109374631,-0.079712747,0.066265409,-0.1177043,-0.130206564,,-0.043342759,-0.240821028,-0.414500369,-0.162005655,-0.015065242,-0.086255647,-0.46143694,-0.12346505,-0.358316465,-0.386206556,-0.327468122,-0.695206661,-0.464519771,-0.238939975,-0.236722697,-0.091586938,-0.01097072,-0.139707512,-0.02870444,-0.136397564,-0.022231847,-0.01161117,0.159171282
Age_08_04,0.906131717,-0.876590497,1,-0.123255398,-0.983661157,0.50567218,-0.15662202,-0.108149585,0.031716772,-0.098083739,-0.148359215,,-0.005363947,-0.198430508,-0.470253184,-0.164658304,0.00686492,-0.152562534,-0.412887311,-0.105405927,-0.329017479,-0.403600048,-0.426259145,-0.71944871,-0.510895187,-0.279630639,-0.283855826,-0.069191857,0.013791402,-0.126894569,-0.110988319,-0.116751059,-0.040045378,0.01285726,0.188719528
KM,0.273297851,-0.569960165,0.50567218,-0.020629897,-0.50497445,1,-0.333537948,-0.080502926,-0.081854083,0.102682891,-0.036196614,,0.015023328,0.278164697,-0.028598457,-0.212850802,0.001437579,-0.138941822,-0.177203384,-0.018012148,-0.139275138,-0.133056812,-0.258221494,-0.353862248,-0.266826156,-0.125177013,-0.156241578,0.007396622,0.013661103,-0.074326655,-0.044783876,-0.045657583,-0.01359877,0.015770423,0.084153196
Tow_Bar,0.159171282,-0.172368602,0.188719528,-0.042169981,-0.182205679,0.084153196,0.068271274,0.148536237,0.018785917,0.002724607,0.102291795,,-0.029356649,-0.004987518,-0.074931667,-0.023328109,-0.006718221,0.008590048,-0.065976495,0.052311749,-0.063955554,-0.024361999,-0.117966859,-0.128001147,-0.079910736,-0.007727796,-0.01325151,0.030452502,0.143652264,-0.069478951,-0.094147136,-0.049175675,-0.037330986,0.14075331,1
Automatic,0.066265409,0.033080694,0.031716772,0.009146095,-0.033566969,-0.081854083,0.013144031,-0.01933545,1,0.066740309,-0.027653817,,-0.098555054,-0.055370791,0.05724851,0.026193798,0.023393188,-0.002256229,-0.016128172,-0.011895357,0.001171485,-0.028352763,0.059056613,-0.037068561,-0.010967021,-0.002501825,-0.005863832,-0.004469112,-0.014600244,0.003077421,0.013175336,-0.018876271,-0.078094651,-0.014149521,0.018785917
Mfg_Month,0.043742311,-0.018138222,-0.123255398,1,-0.057415518,-0.020629897,-0.03931242,0.030265828,0.009146095,0.037386567,-0.012068863,,-0.013063024,0.031372634,-0.002167494,-0.005770789,-0.003862534,0.029009539,0.072532362,0.00375616,0.076749474,0.057088375,-0.049017448,0.017714587,-0.016735694,0.010055129,0.02518455,-0.055495374,0.031601498,-0.033503771,0.052789203,0.023245436,0.023506472,0.03257624,-0.042169981
Radio,-0.01097072,-0.041887352,0.013791402,0.031601498,-0.019607369,0.013661103,0.020998138,0.072756444,-0.014600244,-0.000361089,-0.008318074,,0.015090245,-0.03181626,-0.038407372,-0.052057575,-0.039074859,0.198885599,-0.054669867,-0.010034594,-0.223663172,-0.030571064,-0.092647378,-0.129093606,-0.185567721,-0.011250967,-0.03581118,0.009074786,1,-0.126118425,-0.137728758,-0.209589826,-0.034162143,0.991620983,0.143652264
Radio_cassette,-0.01161117,-0.043178988,0.01285726,0.03257624,-0.018844434,0.015770423,0.0199192,0.071529685,-0.014149521,-0.000469534,-0.008265241,,0.015397437,-0.031008861,-0.03726538,-0.054532147,-0.039826683,0.193910054,-0.055724076,-0.022116573,-0.220917181,-0.03652359,-0.092348095,-0.128073275,-0.189668131,-0.016954462,-0.037625504,-0.004583647,0.991620983,-0.134245424,-0.136708407,-0.206389869,-0.033227868,1,0.14075331
BOVAG_Guarantee,-0.015065242,0.028133044,0.00686492,-0.003862534,-0.006205542,0.001437579,0.022700778,0.01078349,0.023393188,-0.081725093,-0.014311384,,0.072123611,0.094330856,-0.056076982,0.233458589,1,-0.300062902,0.134441245,0.224478877,0.287030993,0.005708771,-0.015188469,0.115804372,0.059487871,-0.023008433,-0.012405873,0.164391857,-0.039074859,0.117472133,0.173977808,0.457468081,0.060434301,-0.039826683,-0.006718221
Metallic_Rim,-0.022231847,0.108563982,-0.040045378,0.023506472,0.036022122,-0.01359877,0.206784157,0.053829437,-0.078094651,0.00323562,-0.039554785,,0.295077043,-0.011964548,0.053846741,0.026727922,0.060434301,-0.044002874,0.079151858,0.057344702,0.075127819,0.233166104,0.10036278,-0.024998752,0.044730248,0.281333815,0.291419414,0.053216558,-0.034162143,0.412545427,0.05181012,0.104862323,1,-0.033227868,-0.037330986
